DATE,sp500,daily_return
5/4/2015,2114.49,0.002940772
5/5/2015,2089.46,-0.01183737
5/6/2015,2080.15,-0.004455697
5/7/2015,2088,0.003773766
5/8/2015,2116.1,0.013457854
5/11/2015,2105.33,-0.005089552
5/12/2015,2099.12,-0.002949656
5/13/2015,2098.48,-0.00030489
5/14/2015,2121.1,0.010779231
5/15/2015,2122.73,0.000768469
5/18/2015,2129.2,0.003047962
5/19/2015,2127.83,-0.000643434
5/20/2015,2125.85,-0.000930525
5/21/2015,2130.82,0.002337888
5/22/2015,2126.06,-0.002233882
5/27/2015,2123.48,0.009162627
5/28/2015,2120.79,-0.001266788
5/29/2015,2107.39,-0.0063184
6/1/2015,2111.73,0.002059419
6/2/2015,2109.6,-0.001008652
6/3/2015,2114.07,0.002118885
6/4/2015,2095.84,-0.008623177
6/5/2015,2092.83,-0.001436178
6/8/2015,2079.28,-0.006474487
6/9/2015,2080.15,0.000418414
6/10/2015,2105.2,0.012042401
6/11/2015,2108.86,0.001738552
6/12/2015,2094.11,-0.0069943
6/15/2015,2084.43,-0.004622489
6/16/2015,2096.29,0.005689805
6/17/2015,2100.44,0.001979688
6/18/2015,2121.24,0.009902687
6/19/2015,2109.99,-0.005303502
6/22/2015,2122.85,0.006094816
6/23/2015,2124.2,0.000635938
6/24/2015,2108.58,-0.007353357
6/25/2015,2102.31,-0.002973565
6/26/2015,2101.49,-0.000390047
6/29/2015,2057.64,-0.020866147
6/30/2015,2063.11,0.002658385
7/1/2015,2077.42,0.00693613
7/2/2015,2076.78,-0.000308074
7/7/2015,2081.34,0.006080937
7/8/2015,2046.68,-0.016652733
7/9/2015,2051.31,0.0022622
7/10/2015,2076.62,0.012338457
7/13/2015,2099.6,0.011066059
7/14/2015,2108.95,0.004453229
7/15/2015,2107.4,-0.000734963
7/16/2015,2124.29,0.008014615
7/17/2015,2126.64,0.001106252
7/20/2015,2128.28,0.00077117
7/21/2015,2119.21,-0.004261657
7/22/2015,2114.15,-0.002387682
7/23/2015,2102.15,-0.00567604
7/24/2015,2079.65,-0.010703328
7/27/2015,2067.64,-0.00577501
7/28/2015,2093.25,0.012386102
